word,verse_key,surah_id,verse_id,global_verse_number,word_position,juz,page,audio_file,clip_file,clip_start_sec,clip_end_sec,clip_duration_sec,clip_matched,asr_text,asr_probability
الٓمٓ,2:1,2,1,8,0,1,2,fullQuran/alafasy_quran_complete/002/002001.mp3,dataset/word_clips/002/002001/word_000.wav,0.0,0.98,0.98,True,الم,1.0
ذٰلِكَ,2:2,2,2,9,0,1,2,fullQuran/alafasy_quran_complete/002/002002.mp3,dataset/word_clips/002/002002/word_000.wav,0.0,1.1,1.1,True,ذَلِكَ,1.0
الْكِتٰبُ,2:2,2,2,9,1,1,2,fullQuran/alafasy_quran_complete/002/002002.mp3,dataset/word_clips/002/002002/word_001.wav,1.02,1.94,0.92,True,الْكِتَابُ,1.0
لَا,2:2,2,2,9,2,1,2,fullQuran/alafasy_quran_complete/002/002002.mp3,dataset/word_clips/002/002002/word_002.wav,1.86,2.26,0.4,True,لَا,1.0
رَیْبَ١ۛۖۚ,2:2,2,2,9,3,1,2,fullQuran/alafasy_quran_complete/002/002002.mp3,,,,,False,,
فِیْهِ١ۛۚ,2:2,2,2,9,4,1,2,fullQuran/alafasy_quran_complete/002/002002.mp3,,,,,False,,
هُدًى,2:2,2,2,9,5,1,2,fullQuran/alafasy_quran_complete/002/002002.mp3,,,,,False,,
لِّلْمُتَّقِیْنَۙ,2:2,2,2,9,6,1,2,fullQuran/alafasy_quran_complete/002/002002.mp3,,,,,False,,
الَّذِیْنَ,2:3,2,3,10,0,1,2,fullQuran/alafasy_quran_complete/002/002003.mp3,dataset/word_clips/002/002003/word_000.wav,0.0,1.16,1.16,True,الَّذِينَ,1.0
یُؤْمِنُوْنَ,2:3,2,3,10,1,1,2,fullQuran/alafasy_quran_complete/002/002003.mp3,,,,,False,,
بِالْغَیْبِ,2:3,2,3,10,2,1,2,fullQuran/alafasy_quran_complete/002/002003.mp3,dataset/word_clips/002/002003/word_002.wav,1.08,2.24,1.16,True,يُؤْمِنُونَ,1.0
وَ,2:3,2,3,10,3,1,2,fullQuran/alafasy_quran_complete/002/002003.mp3,dataset/word_clips/002/002003/word_003.wav,2.16,3.14,0.98,True,بِالْغَيْبِ,1.0
یُقِیْمُوْنَ,2:3,2,3,10,4,1,2,fullQuran/alafasy_quran_complete/002/002003.mp3,,,,,False,,
الصَّلٰوةَ,2:3,2,3,10,5,1,2,fullQuran/alafasy_quran_complete/002/002003.mp3,,,,,False,,
وَ,2:3,2,3,10,6,1,2,fullQuran/alafasy_quran_complete/002/002003.mp3,,,,,False,,
مِمَّا,2:3,2,3,10,7,1,2,fullQuran/alafasy_quran_complete/002/002003.mp3,,,,,False,,
رَزَقْنٰهُمْ,2:3,2,3,10,8,1,2,fullQuran/alafasy_quran_complete/002/002003.mp3,dataset/word_clips/002/002003/word_008.wav,4.24,5.24,1.0,True,الصَّلَاةَ,1.0
یُنْفِقُوْنَۙ,2:3,2,3,10,9,1,2,fullQuran/alafasy_quran_complete/002/002003.mp3,,,,,False,,
وَٱلَّذِينَ,2:4,2,4,11,0,1,2,fullQuran/alafasy_quran_complete/002/002004.mp3,,,,,False,,
يُؤۡمِنُونَ,2:4,2,4,11,1,1,2,fullQuran/alafasy_quran_complete/002/002004.mp3,dataset/word_clips/002/002004/word_001.wav,0.0,1.24,1.24,True,وَالَّذِينَ,1.0
بِمَآ,2:4,2,4,11,2,1,2,fullQuran/alafasy_quran_complete/002/002004.mp3,dataset/word_clips/002/002004/word_002.wav,1.16,2.32,1.16,True,يُؤْمِنُونَ,1.0
أُنزِلَ,2:4,2,4,11,3,1,2,fullQuran/alafasy_quran_complete/002/002004.mp3,dataset/word_clips/002/002004/word_003.wav,2.24,4.02,1.78,True,بِمَا,1.0
إِلَيۡكَ,2:4,2,4,11,4,1,2,fullQuran/alafasy_quran_complete/002/002004.mp3,dataset/word_clips/002/002004/word_004.wav,3.94,5.38,1.44,True,أُنْزِلَ,1.0
وَمَآ,2:4,2,4,11,5,1,2,fullQuran/alafasy_quran_complete/002/002004.mp3,dataset/word_clips/002/002004/word_005.wav,5.3,6.06,0.76,True,إِلَيْكَ,1.0
أُنزِلَ,2:4,2,4,11,6,1,2,fullQuran/alafasy_quran_complete/002/002004.mp3,dataset/word_clips/002/002004/word_006.wav,5.98,7.82,1.84,True,وَمَا,1.0
مِن,2:4,2,4,11,7,1,2,fullQuran/alafasy_quran_complete/002/002004.mp3,dataset/word_clips/002/002004/word_007.wav,7.74,9.14,1.4,True,أُنْزِلَ,1.0
قَبۡلِكَ,2:4,2,4,11,8,1,2,fullQuran/alafasy_quran_complete/002/002004.mp3,dataset/word_clips/002/002004/word_008.wav,9.06,9.96,0.9,True,مِنْ,1.0
وَبِٱلۡأٓخِرَةِ,2:4,2,4,11,9,1,2,fullQuran/alafasy_quran_complete/002/002004.mp3,dataset/word_clips/002/002004/word_009.wav,9.88,10.74,0.86,True,قَبْلِكَ,1.0
هُمۡ,2:4,2,4,11,10,1,2,fullQuran/alafasy_quran_complete/002/002004.mp3,,,,,False,,
يُوقِنُونَ,2:4,2,4,11,11,1,2,fullQuran/alafasy_quran_complete/002/002004.mp3,dataset/word_clips/002/002004/word_011.wav,10.66,12.2,1.54,True,وَبِالْآخِرَةِ,1.0
أُوْلَـٰٓئِكَ,2:5,2,5,12,0,1,2,fullQuran/alafasy_quran_complete/002/002005.mp3,dataset/word_clips/002/002005/word_000.wav,0.0,2.62,2.62,True,أُولَئِكَ,1.0
عَلَىٰ,2:5,2,5,12,1,1,2,fullQuran/alafasy_quran_complete/002/002005.mp3,dataset/word_clips/002/002005/word_001.wav,2.54,3.08,0.54,True,عَلَى,1.0
هُدٗى,2:5,2,5,12,2,1,2,fullQuran/alafasy_quran_complete/002/002005.mp3,dataset/word_clips/002/002005/word_002.wav,3.0,4.16,1.16,True,هُدًى,1.0
مِّن,2:5,2,5,12,3,1,2,fullQuran/alafasy_quran_complete/002/002005.mp3,dataset/word_clips/002/002005/word_003.wav,4.08,4.6,0.52,True,مِنْ,1.0
رَّبِّهِمۡۖ,2:5,2,5,12,4,1,2,fullQuran/alafasy_quran_complete/002/002005.mp3,dataset/word_clips/002/002005/word_004.wav,4.52,5.6,1.08,True,رَبِّهِمْ,1.0
وَأُوْلَـٰٓئِكَ,2:5,2,5,12,5,1,2,fullQuran/alafasy_quran_complete/002/002005.mp3,dataset/word_clips/002/002005/word_005.wav,5.52,8.16,2.64,True,وَأُولَئِكَ,1.0
هُمُ,2:5,2,5,12,6,1,2,fullQuran/alafasy_quran_complete/002/002005.mp3,dataset/word_clips/002/002005/word_006.wav,8.08,8.46,0.38,True,هُمُ,1.0
ٱلۡمُفۡلِحُونَ,2:5,2,5,12,7,1,2,fullQuran/alafasy_quran_complete/002/002005.mp3,dataset/word_clips/002/002005/word_007.wav,8.38,11.06,2.68,True,الْمُفْلِحُونَ,1.0
إِنَّ,2:6,2,6,13,0,1,3,fullQuran/alafasy_quran_complete/002/002006.mp3,dataset/word_clips/002/002006/word_000.wav,0.0,1.36,1.36,True,إِنَّ,1.0
ٱلَّذِينَ,2:6,2,6,13,1,1,3,fullQuran/alafasy_quran_complete/002/002006.mp3,dataset/word_clips/002/002006/word_001.wav,1.28,2.28,1.0,True,الَّذِينَ,1.0
كَفَرُواْ,2:6,2,6,13,2,1,3,fullQuran/alafasy_quran_complete/002/002006.mp3,dataset/word_clips/002/002006/word_002.wav,2.2,3.0,0.8,True,كَفَرُوا,1.0
سَوَآءٌ,2:6,2,6,13,3,1,3,fullQuran/alafasy_quran_complete/002/002006.mp3,dataset/word_clips/002/002006/word_003.wav,2.92,5.06,2.14,True,سَوَاءٌ,1.0
عَلَيۡهِمۡ,2:6,2,6,13,4,1,3,fullQuran/alafasy_quran_complete/002/002006.mp3,dataset/word_clips/002/002006/word_004.wav,4.98,6.04,1.06,True,عَلَيْهِمْ,1.0
ءَأَنذَرۡتَهُمۡ,2:6,2,6,13,5,1,3,fullQuran/alafasy_quran_complete/002/002006.mp3,dataset/word_clips/002/002006/word_005.wav,5.96,7.94,1.98,True,أَأَنْذَرْتَهُمْ,1.0
أَمۡ,2:6,2,6,13,6,1,3,fullQuran/alafasy_quran_complete/002/002006.mp3,dataset/word_clips/002/002006/word_006.wav,7.86,8.26,0.4,True,أَمْ,1.0
لَمۡ,2:6,2,6,13,7,1,3,fullQuran/alafasy_quran_complete/002/002006.mp3,dataset/word_clips/002/002006/word_007.wav,8.18,8.62,0.44,True,لَمْ,1.0
تُنذِرۡهُمۡ,2:6,2,6,13,8,1,3,fullQuran/alafasy_quran_complete/002/002006.mp3,dataset/word_clips/002/002006/word_008.wav,8.54,10.22,1.68,True,تُنْذِرْهُمْ,1.0
لَا,2:6,2,6,13,9,1,3,fullQuran/alafasy_quran_complete/002/002006.mp3,dataset/word_clips/002/002006/word_009.wav,10.14,10.58,0.44,True,لَا,1.0
يُؤۡمِنُونَ,2:6,2,6,13,10,1,3,fullQuran/alafasy_quran_complete/002/002006.mp3,dataset/word_clips/002/002006/word_010.wav,10.5,12.46,1.96,True,يُؤْمِنُونَ,1.0
خَتَمَ,2:7,2,7,14,0,1,3,fullQuran/alafasy_quran_complete/002/002007.mp3,dataset/word_clips/002/002007/word_000.wav,0.0,0.78,0.78,True,خَتَمَ,1.0
ٱللَّهُ,2:7,2,7,14,1,1,3,fullQuran/alafasy_quran_complete/002/002007.mp3,dataset/word_clips/002/002007/word_001.wav,0.7,1.54,0.84,True,اللَّهُ,1.0
عَلَىٰ,2:7,2,7,14,2,1,3,fullQuran/alafasy_quran_complete/002/002007.mp3,dataset/word_clips/002/002007/word_002.wav,1.46,2.08,0.62,True,عَلَى,1.0
قُلُوبِهِمۡ,2:7,2,7,14,3,1,3,fullQuran/alafasy_quran_complete/002/002007.mp3,dataset/word_clips/002/002007/word_003.wav,2.0,3.26,1.26,True,قُلُوبِهِمْ,1.0
وَعَلَىٰ,2:7,2,7,14,4,1,3,fullQuran/alafasy_quran_complete/002/002007.mp3,dataset/word_clips/002/002007/word_004.wav,3.18,3.96,0.78,True,وَعَلَى,1.0
سَمۡعِهِمۡۖ,2:7,2,7,14,5,1,3,fullQuran/alafasy_quran_complete/002/002007.mp3,dataset/word_clips/002/002007/word_005.wav,3.88,5.3,1.42,True,سَمْعِهِمْ,1.0
وَعَلَىٰٓ,2:7,2,7,14,6,1,3,fullQuran/alafasy_quran_complete/002/002007.mp3,dataset/word_clips/002/002007/word_006.wav,5.22,6.98,1.76,True,وَعَلَى,1.0
أَبۡصَٰرِهِمۡ,2:7,2,7,14,7,1,3,fullQuran/alafasy_quran_complete/002/002007.mp3,dataset/word_clips/002/002007/word_007.wav,6.9,8.36,1.46,True,أَبْصَارِهِمْ,1.0
غِشَٰوَةٞۖ,2:7,2,7,14,8,1,3,fullQuran/alafasy_quran_complete/002/002007.mp3,dataset/word_clips/002/002007/word_008.wav,8.28,9.54,1.26,True,غِشَاوَةٌ,0.9996
وَلَهُمۡ,2:7,2,7,14,9,1,3,fullQuran/alafasy_quran_complete/002/002007.mp3,dataset/word_clips/002/002007/word_009.wav,9.46,10.46,1.0,True,وَلَهُمْ,1.0
عَذَابٌ,2:7,2,7,14,10,1,3,fullQuran/alafasy_quran_complete/002/002007.mp3,dataset/word_clips/002/002007/word_010.wav,10.38,11.36,0.98,True,عَذَابٌ,1.0
عَظِيمٞ,2:7,2,7,14,11,1,3,fullQuran/alafasy_quran_complete/002/002007.mp3,dataset/word_clips/002/002007/word_011.wav,11.28,12.86,1.58,True,عَظِيمٌ,1.0
وَمِنَ,2:8,2,8,15,0,1,3,fullQuran/alafasy_quran_complete/002/002008.mp3,dataset/word_clips/002/002008/word_000.wav,0.0,1.38,1.38,True,وَمِنَ,1.0
ٱلنَّاسِ,2:8,2,8,15,1,1,3,fullQuran/alafasy_quran_complete/002/002008.mp3,dataset/word_clips/002/002008/word_001.wav,1.3,1.96,0.66,True,النَّاسِ,1.0
مَن,2:8,2,8,15,2,1,3,fullQuran/alafasy_quran_complete/002/002008.mp3,dataset/word_clips/002/002008/word_002.wav,1.88,2.84,0.96,True,مَنْ,1.0
يَقُولُ,2:8,2,8,15,3,1,3,fullQuran/alafasy_quran_complete/002/002008.mp3,dataset/word_clips/002/002008/word_003.wav,2.76,3.6,0.84,True,يَقُولُ,1.0
ءَامَنَّا,2:8,2,8,15,4,1,3,fullQuran/alafasy_quran_complete/002/002008.mp3,dataset/word_clips/002/002008/word_004.wav,3.52,5.1,1.58,True,آمَنَّا,1.0
بِٱللَّهِ,2:8,2,8,15,5,1,3,fullQuran/alafasy_quran_complete/002/002008.mp3,,,,,False,,
وَبِٱلۡيَوۡمِ,2:8,2,8,15,6,1,3,fullQuran/alafasy_quran_complete/002/002008.mp3,dataset/word_clips/002/002008/word_006.wav,5.02,6.08,1.06,True,بِاللَّهِ,1.0
ٱلۡأٓخِرِ,2:8,2,8,15,7,1,3,fullQuran/alafasy_quran_complete/002/002008.mp3,,,,,False,,
وَمَا,2:8,2,8,15,8,1,3,fullQuran/alafasy_quran_complete/002/002008.mp3,,,,,False,,
هُم,2:8,2,8,15,9,1,3,fullQuran/alafasy_quran_complete/002/002008.mp3,dataset/word_clips/002/002008/word_009.wav,7.1,8.1,1.0,True,الْآخِرِ,1.0
بِمُؤۡمِنِينَ,2:8,2,8,15,10,1,3,fullQuran/alafasy_quran_complete/002/002008.mp3,dataset/word_clips/002/002008/word_010.wav,8.02,8.68,0.66,True,وَمَا,1.0
يُخَٰدِعُونَ,2:9,2,9,16,0,1,3,fullQuran/alafasy_quran_complete/002/002009.mp3,dataset/word_clips/002/002009/word_000.wav,0.0,1.54,1.54,True,يُخَادِعُونَ,1.0
ٱللَّهَ,2:9,2,9,16,1,1,3,fullQuran/alafasy_quran_complete/002/002009.mp3,dataset/word_clips/002/002009/word_001.wav,1.46,2.22,0.76,True,اللَّهَ,1.0
وَٱلَّذِينَ,2:9,2,9,16,2,1,3,fullQuran/alafasy_quran_complete/002/002009.mp3,,,,,False,,
ءَامَنُواْ,2:9,2,9,16,3,1,3,fullQuran/alafasy_quran_complete/002/002009.mp3,dataset/word_clips/002/002009/word_003.wav,2.14,3.3,1.16,True,وَالَّذِينَ,1.0
وَمَا,2:9,2,9,16,4,1,3,fullQuran/alafasy_quran_complete/002/002009.mp3,dataset/word_clips/002/002009/word_004.wav,3.22,4.18,0.96,True,آمَنُوا,1.0
يَخۡدَعُونَ,2:9,2,9,16,5,1,3,fullQuran/alafasy_quran_complete/002/002009.mp3,dataset/word_clips/002/002009/word_005.wav,4.1,4.8,0.7,True,وَمَا,1.0
إِلَّآ,2:9,2,9,16,6,1,3,fullQuran/alafasy_quran_complete/002/002009.mp3,dataset/word_clips/002/002009/word_006.wav,4.72,5.96,1.24,True,يَخْدَعُونَ,1.0
أَنفُسَهُمۡ,2:9,2,9,16,7,1,3,fullQuran/alafasy_quran_complete/002/002009.mp3,dataset/word_clips/002/002009/word_007.wav,5.88,7.84,1.96,True,إِلَّا,1.0
وَمَا,2:9,2,9,16,8,1,3,fullQuran/alafasy_quran_complete/002/002009.mp3,dataset/word_clips/002/002009/word_008.wav,7.76,9.66,1.9,True,أَنْفُسَهُمْ,1.0
يَشۡعُرُونَ,2:9,2,9,16,9,1,3,fullQuran/alafasy_quran_complete/002/002009.mp3,dataset/word_clips/002/002009/word_009.wav,9.58,10.22,0.64,True,وَمَا,1.0
فِي,2:10,2,10,17,0,1,3,fullQuran/alafasy_quran_complete/002/002010.mp3,dataset/word_clips/002/002010/word_000.wav,0.0,0.52,0.52,True,فِي,1.0
قُلُوبِهِم,2:10,2,10,17,1,1,3,fullQuran/alafasy_quran_complete/002/002010.mp3,dataset/word_clips/002/002010/word_001.wav,0.44,2.22,1.78,True,قُلُوبِهِمْ,1.0
مَّرَضٞ,2:10,2,10,17,2,1,3,fullQuran/alafasy_quran_complete/002/002010.mp3,dataset/word_clips/002/002010/word_002.wav,2.14,3.14,1.0,True,مَرَضٌ,1.0
فَزَادَهُمُ,2:10,2,10,17,3,1,3,fullQuran/alafasy_quran_complete/002/002010.mp3,dataset/word_clips/002/002010/word_003.wav,3.06,4.66,1.6,True,فَزَادَهُمُ,1.0
ٱللَّهُ,2:10,2,10,17,4,1,3,fullQuran/alafasy_quran_complete/002/002010.mp3,dataset/word_clips/002/002010/word_004.wav,4.58,5.42,0.84,True,اللَّهُ,1.0
مَرَضٗاۖ,2:10,2,10,17,5,1,3,fullQuran/alafasy_quran_complete/002/002010.mp3,dataset/word_clips/002/002010/word_005.wav,5.34,6.66,1.32,True,مَرَضًا,1.0
وَلَهُمۡ,2:10,2,10,17,6,1,3,fullQuran/alafasy_quran_complete/002/002010.mp3,dataset/word_clips/002/002010/word_006.wav,6.58,7.44,0.86,True,وَلَهُمْ,1.0
عَذَابٌ,2:10,2,10,17,7,1,3,fullQuran/alafasy_quran_complete/002/002010.mp3,dataset/word_clips/002/002010/word_007.wav,7.36,8.4,1.04,True,عَذَابٌ,1.0
أَلِيمُۢ,2:10,2,10,17,8,1,3,fullQuran/alafasy_quran_complete/002/002010.mp3,dataset/word_clips/002/002010/word_008.wav,8.32,9.74,1.42,True,أَلِيمٌ,1.0
بِمَا,2:10,2,10,17,9,1,3,fullQuran/alafasy_quran_complete/002/002010.mp3,dataset/word_clips/002/002010/word_009.wav,9.66,10.34,0.68,True,بِمَا,1.0
كَانُواْ,2:10,2,10,17,10,1,3,fullQuran/alafasy_quran_complete/002/002010.mp3,dataset/word_clips/002/002010/word_010.wav,10.26,11.06,0.8,True,كَانُوا,1.0
يَكۡذِبُونَ,2:10,2,10,17,11,1,3,fullQuran/alafasy_quran_complete/002/002010.mp3,dataset/word_clips/002/002010/word_011.wav,10.98,13.3,2.32,True,يَكْذِبُونَ,1.0
وَإِذَا,2:11,2,11,18,0,1,3,fullQuran/alafasy_quran_complete/002/002011.mp3,dataset/word_clips/002/002011/word_000.wav,0.0,0.86,0.86,True,وَإِذَا,1.0
قِيلَ,2:11,2,11,18,1,1,3,fullQuran/alafasy_quran_complete/002/002011.mp3,dataset/word_clips/002/002011/word_001.wav,0.78,1.4,0.62,True,قِيلَ,1.0
لَهُمۡ,2:11,2,11,18,2,1,3,fullQuran/alafasy_quran_complete/002/002011.mp3,dataset/word_clips/002/002011/word_002.wav,1.32,2.04,0.72,True,لَهُمْ,1.0
لَا,2:11,2,11,18,3,1,3,fullQuran/alafasy_quran_complete/002/002011.mp3,dataset/word_clips/002/002011/word_003.wav,1.96,2.32,0.36,True,لَا,1.0
تُفۡسِدُواْ,2:11,2,11,18,4,1,3,fullQuran/alafasy_quran_complete/002/002011.mp3,dataset/word_clips/002/002011/word_004.wav,2.24,3.22,0.98,True,تُفْسِدُوا,1.0
فِي,2:11,2,11,18,5,1,3,fullQuran/alafasy_quran_complete/002/002011.mp3,dataset/word_clips/002/002011/word_005.wav,3.14,3.38,0.24,True,فِي,1.0
ٱلۡأَرۡضِ,2:11,2,11,18,6,1,3,fullQuran/alafasy_quran_complete/002/002011.mp3,dataset/word_clips/002/002011/word_006.wav,3.3,4.08,0.78,True,الْأَرْضِ,1.0
قَالُوٓاْ,2:11,2,11,18,7,1,3,fullQuran/alafasy_quran_complete/002/002011.mp3,dataset/word_clips/002/002011/word_007.wav,4.0,6.06,2.06,True,قَالُوا,1.0
إِنَّمَا,2:11,2,11,18,8,1,3,fullQuran/alafasy_quran_complete/002/002011.mp3,dataset/word_clips/002/002011/word_008.wav,5.98,7.54,1.56,True,إِنَّمَا,1.0
نَحۡنُ,2:11,2,11,18,9,1,3,fullQuran/alafasy_quran_complete/002/002011.mp3,dataset/word_clips/002/002011/word_009.wav,7.46,8.1,0.64,True,نَحْنُ,1.0
مُصۡلِحُونَ,2:11,2,11,18,10,1,3,fullQuran/alafasy_quran_complete/002/002011.mp3,dataset/word_clips/002/002011/word_010.wav,8.02,10.36,2.34,True,مُصْلِحُونَ,1.0
أَلَآ,2:12,2,12,19,0,1,3,fullQuran/alafasy_quran_complete/002/002012.mp3,dataset/word_clips/002/002012/word_000.wav,0.0,2.04,2.04,True,أَلَا,1.0
إِنَّهُمۡ,2:12,2,12,19,1,1,3,fullQuran/alafasy_quran_complete/002/002012.mp3,dataset/word_clips/002/002012/word_001.wav,1.96,3.5,1.54,True,إِنَّهُمْ,1.0
هُمُ,2:12,2,12,19,2,1,3,fullQuran/alafasy_quran_complete/002/002012.mp3,dataset/word_clips/002/002012/word_002.wav,3.42,3.84,0.42,True,هُمُ,1.0
ٱلۡمُفۡسِدُونَ,2:12,2,12,19,3,1,3,fullQuran/alafasy_quran_complete/002/002012.mp3,dataset/word_clips/002/002012/word_003.wav,3.76,5.14,1.38,True,الْمُفْسِدُونَ,1.0
وَلَٰكِن,2:12,2,12,19,4,1,3,fullQuran/alafasy_quran_complete/002/002012.mp3,dataset/word_clips/002/002012/word_004.wav,5.06,6.06,1.0,True,وَلَكِنْ,1.0
لَّا,2:12,2,12,19,5,1,3,fullQuran/alafasy_quran_complete/002/002012.mp3,dataset/word_clips/002/002012/word_005.wav,5.98,6.48,0.5,True,لَا,1.0
يَشۡعُرُونَ,2:12,2,12,19,6,1,3,fullQuran/alafasy_quran_complete/002/002012.mp3,dataset/word_clips/002/002012/word_006.wav,6.4,8.9,2.5,True,يَشْعُرُونَ,1.0
وَإِذَا,2:13,2,13,20,0,1,3,fullQuran/alafasy_quran_complete/002/002013.mp3,dataset/word_clips/002/002013/word_000.wav,0.0,0.94,0.94,True,وَإِذَا,1.0
قِيلَ,2:13,2,13,20,1,1,3,fullQuran/alafasy_quran_complete/002/002013.mp3,dataset/word_clips/002/002013/word_001.wav,0.86,1.36,0.5,True,قِيلَ,1.0
