word,verse_key,surah_id,verse_id,global_verse_number,word_position,ruku,juz,page,audio_file
لِّلْمُتَّقِیْنَۙ,2:2,2,2,9,6,1,1,2,fullQuran/alafasy_quran_complete/002/002002.mp3
الَّذِیْنَ,2:3,2,3,10,0,1,1,2,fullQuran/alafasy_quran_complete/002/002003.mp3
یُؤْمِنُوْنَ,2:3,2,3,10,1,1,1,2,fullQuran/alafasy_quran_complete/002/002003.mp3
بِالْغَیْبِ,2:3,2,3,10,2,1,1,2,fullQuran/alafasy_quran_complete/002/002003.mp3
وَ,2:3,2,3,10,3,1,1,2,fullQuran/alafasy_quran_complete/002/002003.mp3
یُقِیْمُوْنَ,2:3,2,3,10,4,1,1,2,fullQuran/alafasy_quran_complete/002/002003.mp3
الصَّلٰوةَ,2:3,2,3,10,5,1,1,2,fullQuran/alafasy_quran_complete/002/002003.mp3
وَ,2:3,2,3,10,6,1,1,2,fullQuran/alafasy_quran_complete/002/002003.mp3
مِمَّا,2:3,2,3,10,7,1,1,2,fullQuran/alafasy_quran_complete/002/002003.mp3
رَزَقْنٰهُمْ,2:3,2,3,10,8,1,1,2,fullQuran/alafasy_quran_complete/002/002003.mp3
یُنْفِقُوْنَۙ,2:3,2,3,10,9,1,1,2,fullQuran/alafasy_quran_complete/002/002003.mp3
وَٱلَّذِينَ,2:4,2,4,11,0,1,1,2,fullQuran/alafasy_quran_complete/002/002004.mp3
يُؤۡمِنُونَ,2:4,2,4,11,1,1,1,2,fullQuran/alafasy_quran_complete/002/002004.mp3
بِمَآ,2:4,2,4,11,2,1,1,2,fullQuran/alafasy_quran_complete/002/002004.mp3
أُنزِلَ,2:4,2,4,11,3,1,1,2,fullQuran/alafasy_quran_complete/002/002004.mp3
إِلَيۡكَ,2:4,2,4,11,4,1,1,2,fullQuran/alafasy_quran_complete/002/002004.mp3
وَمَآ,2:4,2,4,11,5,1,1,2,fullQuran/alafasy_quran_complete/002/002004.mp3
أُنزِلَ,2:4,2,4,11,6,1,1,2,fullQuran/alafasy_quran_complete/002/002004.mp3
مِن,2:4,2,4,11,7,1,1,2,fullQuran/alafasy_quran_complete/002/002004.mp3
قَبۡلِكَ,2:4,2,4,11,8,1,1,2,fullQuran/alafasy_quran_complete/002/002004.mp3
وَبِٱلۡأٓخِرَةِ,2:4,2,4,11,9,1,1,2,fullQuran/alafasy_quran_complete/002/002004.mp3
هُمۡ,2:4,2,4,11,10,1,1,2,fullQuran/alafasy_quran_complete/002/002004.mp3
يُوقِنُونَ,2:4,2,4,11,11,1,1,2,fullQuran/alafasy_quran_complete/002/002004.mp3
أُوْلَـٰٓئِكَ,2:5,2,5,12,0,1,1,2,fullQuran/alafasy_quran_complete/002/002005.mp3
عَلَىٰ,2:5,2,5,12,1,1,1,2,fullQuran/alafasy_quran_complete/002/002005.mp3
هُدٗى,2:5,2,5,12,2,1,1,2,fullQuran/alafasy_quran_complete/002/002005.mp3
مِّن,2:5,2,5,12,3,1,1,2,fullQuran/alafasy_quran_complete/002/002005.mp3
رَّبِّهِمۡۖ,2:5,2,5,12,4,1,1,2,fullQuran/alafasy_quran_complete/002/002005.mp3
وَأُوْلَـٰٓئِكَ,2:5,2,5,12,5,1,1,2,fullQuran/alafasy_quran_complete/002/002005.mp3
هُمُ,2:5,2,5,12,6,1,1,2,fullQuran/alafasy_quran_complete/002/002005.mp3
ٱلۡمُفۡلِحُونَ,2:5,2,5,12,7,1,1,2,fullQuran/alafasy_quran_complete/002/002005.mp3
إِنَّ,2:6,2,6,13,0,1,1,3,fullQuran/alafasy_quran_complete/002/002006.mp3
ٱلَّذِينَ,2:6,2,6,13,1,1,1,3,fullQuran/alafasy_quran_complete/002/002006.mp3
كَفَرُواْ,2:6,2,6,13,2,1,1,3,fullQuran/alafasy_quran_complete/002/002006.mp3
سَوَآءٌ,2:6,2,6,13,3,1,1,3,fullQuran/alafasy_quran_complete/002/002006.mp3
عَلَيۡهِمۡ,2:6,2,6,13,4,1,1,3,fullQuran/alafasy_quran_complete/002/002006.mp3
ءَأَنذَرۡتَهُمۡ,2:6,2,6,13,5,1,1,3,fullQuran/alafasy_quran_complete/002/002006.mp3
أَمۡ,2:6,2,6,13,6,1,1,3,fullQuran/alafasy_quran_complete/002/002006.mp3
لَمۡ,2:6,2,6,13,7,1,1,3,fullQuran/alafasy_quran_complete/002/002006.mp3
تُنذِرۡهُمۡ,2:6,2,6,13,8,1,1,3,fullQuran/alafasy_quran_complete/002/002006.mp3
لَا,2:6,2,6,13,9,1,1,3,fullQuran/alafasy_quran_complete/002/002006.mp3
يُؤۡمِنُونَ,2:6,2,6,13,10,1,1,3,fullQuran/alafasy_quran_complete/002/002006.mp3
خَتَمَ,2:7,2,7,14,0,1,1,3,fullQuran/alafasy_quran_complete/002/002007.mp3
ٱللَّهُ,2:7,2,7,14,1,1,1,3,fullQuran/alafasy_quran_complete/002/002007.mp3
عَلَىٰ,2:7,2,7,14,2,1,1,3,fullQuran/alafasy_quran_complete/002/002007.mp3
قُلُوبِهِمۡ,2:7,2,7,14,3,1,1,3,fullQuran/alafasy_quran_complete/002/002007.mp3
وَعَلَىٰ,2:7,2,7,14,4,1,1,3,fullQuran/alafasy_quran_complete/002/002007.mp3
سَمۡعِهِمۡۖ,2:7,2,7,14,5,1,1,3,fullQuran/alafasy_quran_complete/002/002007.mp3
وَعَلَىٰٓ,2:7,2,7,14,6,1,1,3,fullQuran/alafasy_quran_complete/002/002007.mp3
أَبۡصَٰرِهِمۡ,2:7,2,7,14,7,1,1,3,fullQuran/alafasy_quran_complete/002/002007.mp3
غِشَٰوَةٞۖ,2:7,2,7,14,8,1,1,3,fullQuran/alafasy_quran_complete/002/002007.mp3
وَلَهُمۡ,2:7,2,7,14,9,1,1,3,fullQuran/alafasy_quran_complete/002/002007.mp3
عَذَابٌ,2:7,2,7,14,10,1,1,3,fullQuran/alafasy_quran_complete/002/002007.mp3
عَظِيمٞ,2:7,2,7,14,11,1,1,3,fullQuran/alafasy_quran_complete/002/002007.mp3
وَمِنَ,2:8,2,8,15,0,2,1,3,fullQuran/alafasy_quran_complete/002/002008.mp3
ٱلنَّاسِ,2:8,2,8,15,1,2,1,3,fullQuran/alafasy_quran_complete/002/002008.mp3
مَن,2:8,2,8,15,2,2,1,3,fullQuran/alafasy_quran_complete/002/002008.mp3
يَقُولُ,2:8,2,8,15,3,2,1,3,fullQuran/alafasy_quran_complete/002/002008.mp3
ءَامَنَّا,2:8,2,8,15,4,2,1,3,fullQuran/alafasy_quran_complete/002/002008.mp3
بِٱللَّهِ,2:8,2,8,15,5,2,1,3,fullQuran/alafasy_quran_complete/002/002008.mp3
وَبِٱلۡيَوۡمِ,2:8,2,8,15,6,2,1,3,fullQuran/alafasy_quran_complete/002/002008.mp3
ٱلۡأٓخِرِ,2:8,2,8,15,7,2,1,3,fullQuran/alafasy_quran_complete/002/002008.mp3
وَمَا,2:8,2,8,15,8,2,1,3,fullQuran/alafasy_quran_complete/002/002008.mp3
هُم,2:8,2,8,15,9,2,1,3,fullQuran/alafasy_quran_complete/002/002008.mp3
بِمُؤۡمِنِينَ,2:8,2,8,15,10,2,1,3,fullQuran/alafasy_quran_complete/002/002008.mp3
يُخَٰدِعُونَ,2:9,2,9,16,0,2,1,3,fullQuran/alafasy_quran_complete/002/002009.mp3
ٱللَّهَ,2:9,2,9,16,1,2,1,3,fullQuran/alafasy_quran_complete/002/002009.mp3
وَٱلَّذِينَ,2:9,2,9,16,2,2,1,3,fullQuran/alafasy_quran_complete/002/002009.mp3
ءَامَنُواْ,2:9,2,9,16,3,2,1,3,fullQuran/alafasy_quran_complete/002/002009.mp3
وَمَا,2:9,2,9,16,4,2,1,3,fullQuran/alafasy_quran_complete/002/002009.mp3
يَخۡدَعُونَ,2:9,2,9,16,5,2,1,3,fullQuran/alafasy_quran_complete/002/002009.mp3
إِلَّآ,2:9,2,9,16,6,2,1,3,fullQuran/alafasy_quran_complete/002/002009.mp3
أَنفُسَهُمۡ,2:9,2,9,16,7,2,1,3,fullQuran/alafasy_quran_complete/002/002009.mp3
وَمَا,2:9,2,9,16,8,2,1,3,fullQuran/alafasy_quran_complete/002/002009.mp3
يَشۡعُرُونَ,2:9,2,9,16,9,2,1,3,fullQuran/alafasy_quran_complete/002/002009.mp3
فِي,2:10,2,10,17,0,2,1,3,fullQuran/alafasy_quran_complete/002/002010.mp3
قُلُوبِهِم,2:10,2,10,17,1,2,1,3,fullQuran/alafasy_quran_complete/002/002010.mp3
مَّرَضٞ,2:10,2,10,17,2,2,1,3,fullQuran/alafasy_quran_complete/002/002010.mp3
فَزَادَهُمُ,2:10,2,10,17,3,2,1,3,fullQuran/alafasy_quran_complete/002/002010.mp3
ٱللَّهُ,2:10,2,10,17,4,2,1,3,fullQuran/alafasy_quran_complete/002/002010.mp3
مَرَضٗاۖ,2:10,2,10,17,5,2,1,3,fullQuran/alafasy_quran_complete/002/002010.mp3
وَلَهُمۡ,2:10,2,10,17,6,2,1,3,fullQuran/alafasy_quran_complete/002/002010.mp3
عَذَابٌ,2:10,2,10,17,7,2,1,3,fullQuran/alafasy_quran_complete/002/002010.mp3
أَلِيمُۢ,2:10,2,10,17,8,2,1,3,fullQuran/alafasy_quran_complete/002/002010.mp3
بِمَا,2:10,2,10,17,9,2,1,3,fullQuran/alafasy_quran_complete/002/002010.mp3
كَانُواْ,2:10,2,10,17,10,2,1,3,fullQuran/alafasy_quran_complete/002/002010.mp3
يَكۡذِبُونَ,2:10,2,10,17,11,2,1,3,fullQuran/alafasy_quran_complete/002/002010.mp3
وَإِذَا,2:11,2,11,18,0,2,1,3,fullQuran/alafasy_quran_complete/002/002011.mp3
قِيلَ,2:11,2,11,18,1,2,1,3,fullQuran/alafasy_quran_complete/002/002011.mp3
لَهُمۡ,2:11,2,11,18,2,2,1,3,fullQuran/alafasy_quran_complete/002/002011.mp3
لَا,2:11,2,11,18,3,2,1,3,fullQuran/alafasy_quran_complete/002/002011.mp3
تُفۡسِدُواْ,2:11,2,11,18,4,2,1,3,fullQuran/alafasy_quran_complete/002/002011.mp3
فِي,2:11,2,11,18,5,2,1,3,fullQuran/alafasy_quran_complete/002/002011.mp3
ٱلۡأَرۡضِ,2:11,2,11,18,6,2,1,3,fullQuran/alafasy_quran_complete/002/002011.mp3
قَالُوٓاْ,2:11,2,11,18,7,2,1,3,fullQuran/alafasy_quran_complete/002/002011.mp3
إِنَّمَا,2:11,2,11,18,8,2,1,3,fullQuran/alafasy_quran_complete/002/002011.mp3
نَحۡنُ,2:11,2,11,18,9,2,1,3,fullQuran/alafasy_quran_complete/002/002011.mp3
مُصۡلِحُونَ,2:11,2,11,18,10,2,1,3,fullQuran/alafasy_quran_complete/002/002011.mp3
أَلَآ,2:12,2,12,19,0,2,1,3,fullQuran/alafasy_quran_complete/002/002012.mp3
إِنَّهُمۡ,2:12,2,12,19,1,2,1,3,fullQuran/alafasy_quran_complete/002/002012.mp3
هُمُ,2:12,2,12,19,2,2,1,3,fullQuran/alafasy_quran_complete/002/002012.mp3
ٱلۡمُفۡسِدُونَ,2:12,2,12,19,3,2,1,3,fullQuran/alafasy_quran_complete/002/002012.mp3
وَلَٰكِن,2:12,2,12,19,4,2,1,3,fullQuran/alafasy_quran_complete/002/002012.mp3
لَّا,2:12,2,12,19,5,2,1,3,fullQuran/alafasy_quran_complete/002/002012.mp3
يَشۡعُرُونَ,2:12,2,12,19,6,2,1,3,fullQuran/alafasy_quran_complete/002/002012.mp3
وَإِذَا,2:13,2,13,20,0,2,1,3,fullQuran/alafasy_quran_complete/002/002013.mp3
قِيلَ,2:13,2,13,20,1,2,1,3,fullQuran/alafasy_quran_complete/002/002013.mp3
لَهُمۡ,2:13,2,13,20,2,2,1,3,fullQuran/alafasy_quran_complete/002/002013.mp3
ءَامِنُواْ,2:13,2,13,20,3,2,1,3,fullQuran/alafasy_quran_complete/002/002013.mp3
كَمَآ,2:13,2,13,20,4,2,1,3,fullQuran/alafasy_quran_complete/002/002013.mp3
ءَامَنَ,2:13,2,13,20,5,2,1,3,fullQuran/alafasy_quran_complete/002/002013.mp3
ٱلنَّاسُ,2:13,2,13,20,6,2,1,3,fullQuran/alafasy_quran_complete/002/002013.mp3
قَالُوٓاْ,2:13,2,13,20,7,2,1,3,fullQuran/alafasy_quran_complete/002/002013.mp3
أَنُؤۡمِنُ,2:13,2,13,20,8,2,1,3,fullQuran/alafasy_quran_complete/002/002013.mp3
كَمَآ,2:13,2,13,20,9,2,1,3,fullQuran/alafasy_quran_complete/002/002013.mp3
ءَامَنَ,2:13,2,13,20,10,2,1,3,fullQuran/alafasy_quran_complete/002/002013.mp3
ٱلسُّفَهَآءُۗ,2:13,2,13,20,11,2,1,3,fullQuran/alafasy_quran_complete/002/002013.mp3
أَلَآ,2:13,2,13,20,12,2,1,3,fullQuran/alafasy_quran_complete/002/002013.mp3
إِنَّهُمۡ,2:13,2,13,20,13,2,1,3,fullQuran/alafasy_quran_complete/002/002013.mp3
هُمُ,2:13,2,13,20,14,2,1,3,fullQuran/alafasy_quran_complete/002/002013.mp3
ٱلسُّفَهَآءُ,2:13,2,13,20,15,2,1,3,fullQuran/alafasy_quran_complete/002/002013.mp3
وَلَٰكِن,2:13,2,13,20,16,2,1,3,fullQuran/alafasy_quran_complete/002/002013.mp3
لَّا,2:13,2,13,20,17,2,1,3,fullQuran/alafasy_quran_complete/002/002013.mp3
يَعۡلَمُونَ,2:13,2,13,20,18,2,1,3,fullQuran/alafasy_quran_complete/002/002013.mp3
وَإِذَا,2:14,2,14,21,0,2,1,3,fullQuran/alafasy_quran_complete/002/002014.mp3
لَقُواْ,2:14,2,14,21,1,2,1,3,fullQuran/alafasy_quran_complete/002/002014.mp3
ٱلَّذِينَ,2:14,2,14,21,2,2,1,3,fullQuran/alafasy_quran_complete/002/002014.mp3
ءَامَنُواْ,2:14,2,14,21,3,2,1,3,fullQuran/alafasy_quran_complete/002/002014.mp3
قَالُوٓاْ,2:14,2,14,21,4,2,1,3,fullQuran/alafasy_quran_complete/002/002014.mp3
ءَامَنَّا,2:14,2,14,21,5,2,1,3,fullQuran/alafasy_quran_complete/002/002014.mp3
وَإِذَا,2:14,2,14,21,6,2,1,3,fullQuran/alafasy_quran_complete/002/002014.mp3
خَلَوۡاْ,2:14,2,14,21,7,2,1,3,fullQuran/alafasy_quran_complete/002/002014.mp3
إِلَىٰ,2:14,2,14,21,8,2,1,3,fullQuran/alafasy_quran_complete/002/002014.mp3
شَيَٰطِينِهِمۡ,2:14,2,14,21,9,2,1,3,fullQuran/alafasy_quran_complete/002/002014.mp3
قَالُوٓاْ,2:14,2,14,21,10,2,1,3,fullQuran/alafasy_quran_complete/002/002014.mp3
إِنَّا,2:14,2,14,21,11,2,1,3,fullQuran/alafasy_quran_complete/002/002014.mp3
مَعَكُمۡ,2:14,2,14,21,12,2,1,3,fullQuran/alafasy_quran_complete/002/002014.mp3
إِنَّمَا,2:14,2,14,21,13,2,1,3,fullQuran/alafasy_quran_complete/002/002014.mp3
نَحۡنُ,2:14,2,14,21,14,2,1,3,fullQuran/alafasy_quran_complete/002/002014.mp3
مُسۡتَهۡزِءُونَ,2:14,2,14,21,15,2,1,3,fullQuran/alafasy_quran_complete/002/002014.mp3
ٱللَّهُ,2:15,2,15,22,0,2,1,3,fullQuran/alafasy_quran_complete/002/002015.mp3
يَسۡتَهۡزِئُ,2:15,2,15,22,1,2,1,3,fullQuran/alafasy_quran_complete/002/002015.mp3
بِهِمۡ,2:15,2,15,22,2,2,1,3,fullQuran/alafasy_quran_complete/002/002015.mp3
وَيَمُدُّهُمۡ,2:15,2,15,22,3,2,1,3,fullQuran/alafasy_quran_complete/002/002015.mp3
فِي,2:15,2,15,22,4,2,1,3,fullQuran/alafasy_quran_complete/002/002015.mp3
طُغۡيَٰنِهِمۡ,2:15,2,15,22,5,2,1,3,fullQuran/alafasy_quran_complete/002/002015.mp3
يَعۡمَهُونَ,2:15,2,15,22,6,2,1,3,fullQuran/alafasy_quran_complete/002/002015.mp3
أُوْلَـٰٓئِكَ,2:16,2,16,23,0,2,1,3,fullQuran/alafasy_quran_complete/002/002016.mp3
ٱلَّذِينَ,2:16,2,16,23,1,2,1,3,fullQuran/alafasy_quran_complete/002/002016.mp3
ٱشۡتَرَوُاْ,2:16,2,16,23,2,2,1,3,fullQuran/alafasy_quran_complete/002/002016.mp3
ٱلضَّلَٰلَةَ,2:16,2,16,23,3,2,1,3,fullQuran/alafasy_quran_complete/002/002016.mp3
بِٱلۡهُدَىٰ,2:16,2,16,23,4,2,1,3,fullQuran/alafasy_quran_complete/002/002016.mp3
فَمَا,2:16,2,16,23,5,2,1,3,fullQuran/alafasy_quran_complete/002/002016.mp3
رَبِحَت,2:16,2,16,23,6,2,1,3,fullQuran/alafasy_quran_complete/002/002016.mp3
تِّجَٰرَتُهُمۡ,2:16,2,16,23,7,2,1,3,fullQuran/alafasy_quran_complete/002/002016.mp3
وَمَا,2:16,2,16,23,8,2,1,3,fullQuran/alafasy_quran_complete/002/002016.mp3
كَانُواْ,2:16,2,16,23,9,2,1,3,fullQuran/alafasy_quran_complete/002/002016.mp3
مُهۡتَدِينَ,2:16,2,16,23,10,2,1,3,fullQuran/alafasy_quran_complete/002/002016.mp3
مَثَلُهُمۡ,2:17,2,17,24,0,2,1,4,fullQuran/alafasy_quran_complete/002/002017.mp3
كَمَثَلِ,2:17,2,17,24,1,2,1,4,fullQuran/alafasy_quran_complete/002/002017.mp3
ٱلَّذِي,2:17,2,17,24,2,2,1,4,fullQuran/alafasy_quran_complete/002/002017.mp3
ٱسۡتَوۡقَدَ,2:17,2,17,24,3,2,1,4,fullQuran/alafasy_quran_complete/002/002017.mp3
نَارٗا,2:17,2,17,24,4,2,1,4,fullQuran/alafasy_quran_complete/002/002017.mp3
فَلَمَّآ,2:17,2,17,24,5,2,1,4,fullQuran/alafasy_quran_complete/002/002017.mp3
أَضَآءَتۡ,2:17,2,17,24,6,2,1,4,fullQuran/alafasy_quran_complete/002/002017.mp3
مَا,2:17,2,17,24,7,2,1,4,fullQuran/alafasy_quran_complete/002/002017.mp3
حَوۡلَهُۥ,2:17,2,17,24,8,2,1,4,fullQuran/alafasy_quran_complete/002/002017.mp3
ذَهَبَ,2:17,2,17,24,9,2,1,4,fullQuran/alafasy_quran_complete/002/002017.mp3
ٱللَّهُ,2:17,2,17,24,10,2,1,4,fullQuran/alafasy_quran_complete/002/002017.mp3
بِنُورِهِمۡ,2:17,2,17,24,11,2,1,4,fullQuran/alafasy_quran_complete/002/002017.mp3
وَتَرَكَهُمۡ,2:17,2,17,24,12,2,1,4,fullQuran/alafasy_quran_complete/002/002017.mp3
فِي,2:17,2,17,24,13,2,1,4,fullQuran/alafasy_quran_complete/002/002017.mp3
ظُلُمَٰتٖ,2:17,2,17,24,14,2,1,4,fullQuran/alafasy_quran_complete/002/002017.mp3
لَّا,2:17,2,17,24,15,2,1,4,fullQuran/alafasy_quran_complete/002/002017.mp3
يُبۡصِرُونَ,2:17,2,17,24,16,2,1,4,fullQuran/alafasy_quran_complete/002/002017.mp3
صُمُّۢ,2:18,2,18,25,0,2,1,4,fullQuran/alafasy_quran_complete/002/002018.mp3
بُكۡمٌ,2:18,2,18,25,1,2,1,4,fullQuran/alafasy_quran_complete/002/002018.mp3
عُمۡيٞ,2:18,2,18,25,2,2,1,4,fullQuran/alafasy_quran_complete/002/002018.mp3
فَهُمۡ,2:18,2,18,25,3,2,1,4,fullQuran/alafasy_quran_complete/002/002018.mp3
لَا,2:18,2,18,25,4,2,1,4,fullQuran/alafasy_quran_complete/002/002018.mp3
يَرۡجِعُونَ,2:18,2,18,25,5,2,1,4,fullQuran/alafasy_quran_complete/002/002018.mp3
أَوۡ,2:19,2,19,26,0,2,1,4,fullQuran/alafasy_quran_complete/002/002019.mp3
كَصَيِّبٖ,2:19,2,19,26,1,2,1,4,fullQuran/alafasy_quran_complete/002/002019.mp3
مِّنَ,2:19,2,19,26,2,2,1,4,fullQuran/alafasy_quran_complete/002/002019.mp3
ٱلسَّمَآءِ,2:19,2,19,26,3,2,1,4,fullQuran/alafasy_quran_complete/002/002019.mp3
فِيهِ,2:19,2,19,26,4,2,1,4,fullQuran/alafasy_quran_complete/002/002019.mp3
ظُلُمَٰتٞ,2:19,2,19,26,5,2,1,4,fullQuran/alafasy_quran_complete/002/002019.mp3
وَرَعۡدٞ,2:19,2,19,26,6,2,1,4,fullQuran/alafasy_quran_complete/002/002019.mp3
وَبَرۡقٞ,2:19,2,19,26,7,2,1,4,fullQuran/alafasy_quran_complete/002/002019.mp3
يَجۡعَلُونَ,2:19,2,19,26,8,2,1,4,fullQuran/alafasy_quran_complete/002/002019.mp3
أَصَٰبِعَهُمۡ,2:19,2,19,26,9,2,1,4,fullQuran/alafasy_quran_complete/002/002019.mp3
فِيٓ,2:19,2,19,26,10,2,1,4,fullQuran/alafasy_quran_complete/002/002019.mp3
ءَاذَانِهِم,2:19,2,19,26,11,2,1,4,fullQuran/alafasy_quran_complete/002/002019.mp3
مِّنَ,2:19,2,19,26,12,2,1,4,fullQuran/alafasy_quran_complete/002/002019.mp3
ٱلصَّوَٰعِقِ,2:19,2,19,26,13,2,1,4,fullQuran/alafasy_quran_complete/002/002019.mp3
حَذَرَ,2:19,2,19,26,14,2,1,4,fullQuran/alafasy_quran_complete/002/002019.mp3
ٱلۡمَوۡتِۚ,2:19,2,19,26,15,2,1,4,fullQuran/alafasy_quran_complete/002/002019.mp3
وَٱللَّهُ,2:19,2,19,26,16,2,1,4,fullQuran/alafasy_quran_complete/002/002019.mp3
مُحِيطُۢ,2:19,2,19,26,17,2,1,4,fullQuran/alafasy_quran_complete/002/002019.mp3
بِٱلۡكَٰفِرِينَ,2:19,2,19,26,18,2,1,4,fullQuran/alafasy_quran_complete/002/002019.mp3
يَكَادُ,2:20,2,20,27,0,2,1,4,fullQuran/alafasy_quran_complete/002/002020.mp3
ٱلۡبَرۡقُ,2:20,2,20,27,1,2,1,4,fullQuran/alafasy_quran_complete/002/002020.mp3
يَخۡطَفُ,2:20,2,20,27,2,2,1,4,fullQuran/alafasy_quran_complete/002/002020.mp3
أَبۡصَٰرَهُمۡۖ,2:20,2,20,27,3,2,1,4,fullQuran/alafasy_quran_complete/002/002020.mp3
كُلَّمَآ,2:20,2,20,27,4,2,1,4,fullQuran/alafasy_quran_complete/002/002020.mp3
أَضَآءَ,2:20,2,20,27,5,2,1,4,fullQuran/alafasy_quran_complete/002/002020.mp3
لَهُم,2:20,2,20,27,6,2,1,4,fullQuran/alafasy_quran_complete/002/002020.mp3
مَّشَوۡاْ,2:20,2,20,27,7,2,1,4,fullQuran/alafasy_quran_complete/002/002020.mp3
فِيهِ,2:20,2,20,27,8,2,1,4,fullQuran/alafasy_quran_complete/002/002020.mp3
وَإِذَآ,2:20,2,20,27,9,2,1,4,fullQuran/alafasy_quran_complete/002/002020.mp3
أَظۡلَمَ,2:20,2,20,27,10,2,1,4,fullQuran/alafasy_quran_complete/002/002020.mp3
عَلَيۡهِمۡ,2:20,2,20,27,11,2,1,4,fullQuran/alafasy_quran_complete/002/002020.mp3
قَامُواْۚ,2:20,2,20,27,12,2,1,4,fullQuran/alafasy_quran_complete/002/002020.mp3
وَلَوۡ,2:20,2,20,27,13,2,1,4,fullQuran/alafasy_quran_complete/002/002020.mp3
شَآءَ,2:20,2,20,27,14,2,1,4,fullQuran/alafasy_quran_complete/002/002020.mp3
